"nm" "bkm" "wfl" "SBez" "lage.15" "Makrolage" "NeuerVertrag" "dauermv" "gew.HH_Total" "gew.HH_Erw" "gew.md"
"178" 400 430 45 "Ludwigvorstadt-Isarvorstadt" 2 1 0 45 1.08798410055326 1.08272083389015 0.961135367784455
"179" 1000 1063.13 63 "Ludwigvorstadt-Isarvorstadt" 3 1 0 141 0.543992050276629 0.541360416945076 1.0008582768322
"180" 1030 1170 50 "Ludwigvorstadt-Isarvorstadt" 3 1 1 3 1.08798410055326 1.08272083389015 0.961135367784455
"181" 2500 2800 112 "Ludwigvorstadt-Isarvorstadt" 3 1 1 9 0.543992050276629 1.08272083389015 0.961135367784455
"182" 2056 2169 100 "Ludwigvorstadt-Isarvorstadt" 2 1 0 47 0.543992050276629 0.541360416945076 0.961135367784455
"183" 1121.95 1218 85 "Ludwigvorstadt-Isarvorstadt" 2 1 0 137 0.543992050276629 0.541360416945076 1.0008582768322
"184" 1780 1925.95 115 "Ludwigvorstadt-Isarvorstadt" 2 1 0 207 0.543992050276629 0.541360416945076 1.0008582768322
"185" 350 410 39 "Ludwigvorstadt-Isarvorstadt" 2 1 1 46 0.543992050276629 0.541360416945076 0.961135367784455
"186" 640 726.07 29 "Ludwigvorstadt-Isarvorstadt" 2 1 1 28 1.08798410055326 1.08272083389015 0.961135367784455
"187" 1150 1240 72 "Ludwigvorstadt-Isarvorstadt" 2 1 0 37 1.08798410055326 1.08272083389015 0.961135367784455
"188" 600 693.48 52 "Ludwigvorstadt-Isarvorstadt" 2 1 1 27 1.08798410055326 1.08272083389015 0.961135367784455
"189" 1636.8 1788.64 146 "Ludwigvorstadt-Isarvorstadt" 2 1 0 454 0.543992050276629 0.541360416945076 1.18452668384622
"190" 1800 1970.1 109 "Ludwigvorstadt-Isarvorstadt" 2 1 1 68 1.08798410055326 1.08272083389015 0.961135367784455
"191" 800 895.36 72 "Ludwigvorstadt-Isarvorstadt" 3 1 0 300 1.08798410055326 1.08272083389015 1.18452668384622
"192" 1250 1400 60 "Ludwigvorstadt-Isarvorstadt" 3 1 0 51 0.543992050276629 0.541360416945076 0.961135367784455
"193" 920 1007.28 64 "Ludwigvorstadt-Isarvorstadt" 2 1 0 125 0.543992050276629 1.08272083389015 1.0008582768322
"194" 800 925 73 "Ludwigvorstadt-Isarvorstadt" 2 1 0 80 1.08798410055326 1.08272083389015 0.961135367784455
"195" 713.74 724.7 32 "Ludwigvorstadt-Isarvorstadt" 2 1 0 93 1.08798410055326 1.08272083389015 0.961135367784455
"196" 1450 1603.72 83 "Ludwigvorstadt-Isarvorstadt" 3 1 1 24 1.08798410055326 1.08272083389015 0.961135367784455
"197" 955.74 1011.64 81 "Ludwigvorstadt-Isarvorstadt" 2 1 1 31 1.08798410055326 1.08272083389015 0.961135367784455
"198" 1190 1300 86 "Ludwigvorstadt-Isarvorstadt" 2 1 1 8 0.543992050276629 1.08272083389015 0.961135367784455
"199" 865 995 67 "Ludwigvorstadt-Isarvorstadt" 3 1 1 7 1.08798410055326 1.08272083389015 0.961135367784455
"200" 1270 1436.9 85 "Ludwigvorstadt-Isarvorstadt" 3 1 1 51 0.543992050276629 0.541360416945076 0.961135367784455
"201" 1940 2300 126 "Ludwigvorstadt-Isarvorstadt" 2 1 1 4 1.08798410055326 1.08272083389015 0.961135367784455
"202" 1060 1176.81 71 "Ludwigvorstadt-Isarvorstadt" 2 1 1 26 0.543992050276629 0.541360416945076 0.961135367784455
"203" 1551.18 1680 114 "Ludwigvorstadt-Isarvorstadt" 2 1 1 19 0.543992050276629 0.541360416945076 0.961135367784455
"204" 1998.48 2090 88 "Ludwigvorstadt-Isarvorstadt" 3 1 1 11 0.543992050276629 0.541360416945076 0.961135367784455
"205" 694.25 758.17 49 "Ludwigvorstadt-Isarvorstadt" 3 1 0 75 0.543992050276629 0.541360416945076 0.961135367784455
"206" 969 1117.26 87 "Ludwigvorstadt-Isarvorstadt" 3 1 1 19 0.543992050276629 1.08272083389015 0.961135367784455
"207" 828.64 910 72 "Ludwigvorstadt-Isarvorstadt" 3 1 0 476 1.08798410055326 1.08272083389015 1.18452668384622
